,constructorId,name,nationality
0,ferrari,Ferrari,Italian
1,force_india,Force India,Indian
2,hrt,HRT,Spanish
3,lotus_racing,Lotus,Malaysian
4,mclaren,McLaren,British
5,mercedes,Mercedes,German
6,red_bull,Red Bull,Austrian
7,renault,Renault,French
8,sauber,Sauber,Swiss
9,toro_rosso,Toro Rosso,Italian
10,virgin,Virgin,British
11,williams,Williams,British
12,caterham,Caterham,Malaysian
13,lotus_f1,Lotus F1,British
14,marussia,Marussia,Russian
15,manor,Manor Marussia,British
16,haas,Haas F1 Team,American
17,alfa,Alfa Romeo,Swiss
18,racing_point,Racing Point,British
19,alphatauri,AlphaTauri,Italian
20,alpine,Alpine F1 Team,French
21,aston_martin,Aston Martin,British
22,rb,RB F1 Team,Italian
