,driverId,firstname,surname,nationality
0,alguersuari,Jaime,Alguersuari,Spanish
1,alonso,Fernando,Alonso,Spanish
2,barrichello,Rubens,Barrichello,Brazilian
3,buemi,Sébastien,Buemi,Swiss
4,button,Jenson,Button,British
5,chandhok,Karun,Chandhok,Indian
6,glock,Timo,Glock,German
7,hamilton,Lewis,Hamilton,British
8,heidfeld,Nick,Heidfeld,German
9,karthikeyan,Narain,Karthikeyan,Indian
10,kobayashi,Kamui,Kobayashi,Japanese
11,kovalainen,Heikki,Kovalainen,Finnish
12,liuzzi,Vitantonio,Liuzzi,Italian
13,maldonado,Pastor,Maldonado,Venezuelan
14,massa,Felipe,Massa,Brazilian
15,petrov,Vitaly,Petrov,Russian
16,perez,Sergio,Pérez,Mexican
17,ricciardo,Daniel,Ricciardo,Australian
18,rosberg,Nico,Rosberg,German
19,michael_schumacher,Michael,Schumacher,German
20,bruno_senna,Bruno,Senna,Brazilian
21,sutil,Adrian,Sutil,German
22,trulli,Jarno,Trulli,Italian
23,vettel,Sebastian,Vettel,German
24,webber,Mark,Webber,Australian
25,ambrosio,Jérôme,d'Ambrosio,Belgian
26,rosa,Pedro,de la Rosa,Spanish
27,resta,Paul,di Resta,British
28,grosjean,Romain,Grosjean,French
29,hulkenberg,Nico,Hülkenberg,German
30,pic,Charles,Pic,French
31,raikkonen,Kimi,Räikkönen,Finnish
32,vergne,Jean-Éric,Vergne,French
33,jules_bianchi,Jules,Bianchi,French
34,bottas,Valtteri,Bottas,Finnish
35,chilton,Max,Chilton,British
36,gutierrez,Esteban,Gutiérrez,Mexican
37,garde,Giedo,van der Garde,Dutch
38,ericsson,Marcus,Ericsson,Swedish
39,kvyat,Daniil,Kvyat,Russian
40,lotterer,André,Lotterer,German
41,kevin_magnussen,Kevin,Magnussen,Danish
42,stevens,Will,Stevens,British
43,merhi,Roberto,Merhi,Spanish
44,nasr,Felipe,Nasr,Brazilian
45,rossi,Alexander,Rossi,American
46,sainz,Carlos,Sainz,Spanish
47,max_verstappen,Max,Verstappen,Dutch
48,haryanto,Rio,Haryanto,Indonesian
49,ocon,Esteban,Ocon,French
50,jolyon_palmer,Jolyon,Palmer,British
51,vandoorne,Stoffel,Vandoorne,Belgian
52,wehrlein,Pascal,Wehrlein,German
53,gasly,Pierre,Gasly,French
54,giovinazzi,Antonio,Giovinazzi,Italian
55,brendon_hartley,Brendon,Hartley,New Zealander
56,stroll,Lance,Stroll,Canadian
57,leclerc,Charles,Leclerc,Monegasque
58,sirotkin,Sergey,Sirotkin,Russian
59,albon,Alexander,Albon,Thai
60,kubica,Robert,Kubica,Polish
61,norris,Lando,Norris,British
62,russell,George,Russell,British
63,aitken,Jack,Aitken,British
64,pietro_fittipaldi,Pietro,Fittipaldi,Brazilian
65,latifi,Nicholas,Latifi,Canadian
66,mazepin,Nikita,Mazepin,Russian
67,mick_schumacher,Mick,Schumacher,German
68,tsunoda,Yuki,Tsunoda,Japanese
69,zhou,Guanyu,Zhou,Chinese
70,de_vries,Nyck,de Vries,Dutch
71,lawson,Liam,Lawson,New Zealander
72,piastri,Oscar,Piastri,Australian
73,sargeant,Logan,Sargeant,American
74,antonelli,Andrea Kimi,Antonelli,Italian
75,bearman,Oliver,Bearman,British
76,colapinto,Franco,Colapinto,Argentine
77,doohan,Jack,Doohan,Australian
78,paul_aron,Paul,Aron,
79,bortoleto,Gabriel,Bortoleto,Brazilian
80,luke_browning,Luke,Browning,
81,jak_crawford,Jak,Crawford,
82,hadjar,Isack,Hadjar,French
83,ryo_hirakawa,Ryo,Hirakawa,
84,ayumu_iwasa,Ayumu,Iwasa,
85,arthur_leclerc,Arthur,Leclerc,
86,arvid_lindblad,Arvid,Lindblad,
87,patricio_o_ward,Patricio,O'Ward,
88,cian_shields,Cian,Shields,
