,season,raceId,driverId,constructorId,position,status,grid,laps,round
0,2011,1,vettel,red_bull,1,Finished,1,58,
1,2011,1,hamilton,mclaren,2,Finished,2,58,
2,2011,1,petrov,renault,3,Finished,6,58,
3,2011,1,alonso,ferrari,4,Finished,5,58,
4,2011,1,webber,red_bull,5,Finished,3,58,
5,2011,1,button,mclaren,6,Finished,4,58,
6,2011,1,massa,ferrari,7,Finished,8,58,
7,2011,1,buemi,toro_rosso,8,+1 Lap,10,57,
8,2011,1,sutil,force_india,9,+1 Lap,16,57,
9,2011,1,resta,force_india,10,+1 Lap,14,57,
10,2011,1,alguersuari,toro_rosso,11,+1 Lap,12,57,
11,2011,1,heidfeld,renault,12,+1 Lap,18,57,
12,2011,1,trulli,lotus_racing,13,+2 Laps,20,56,
13,2011,1,ambrosio,virgin,14,+4 Laps,22,54,
14,2011,1,glock,virgin,15,+9 Laps,21,49,
15,2011,1,barrichello,williams,16,Transmission,17,48,
16,2011,1,rosberg,mercedes,17,Collision,7,22,
17,2011,1,kovalainen,lotus_racing,18,Water leak,19,19,
18,2011,1,michael_schumacher,mercedes,19,Collision,11,19,
19,2011,1,maldonado,williams,20,Transmission,15,9,
20,2011,1,kobayashi,sauber,21,Disqualified,9,58,
21,2011,1,perez,sauber,22,Disqualified,13,58,
22,2011,2,vettel,red_bull,1,Finished,1,56,
23,2011,2,button,mclaren,2,Finished,4,56,
24,2011,2,heidfeld,renault,3,Finished,6,56,
25,2011,2,webber,red_bull,4,Finished,3,56,
26,2011,2,massa,ferrari,5,Finished,7,56,
27,2011,2,alonso,ferrari,6,Finished,5,56,
28,2011,2,kobayashi,sauber,7,Finished,10,56,
29,2011,2,hamilton,mclaren,8,Finished,2,56,
30,2011,2,michael_schumacher,mercedes,9,Finished,11,56,
31,2011,2,resta,force_india,10,Finished,14,56,
32,2011,2,sutil,force_india,11,+1 Lap,17,55,
33,2011,2,rosberg,mercedes,12,+1 Lap,9,55,
34,2011,2,buemi,toro_rosso,13,+1 Lap,12,55,
35,2011,2,alguersuari,toro_rosso,14,+1 Lap,13,55,
36,2011,2,kovalainen,lotus_racing,15,+1 Lap,19,55,
37,2011,2,glock,virgin,16,+2 Laps,21,54,
38,2011,2,petrov,renault,17,Accident,8,52,
39,2011,2,liuzzi,hrt,18,+10 Laps,23,46,
40,2011,2,ambrosio,virgin,19,Accident,22,42,
41,2011,2,trulli,lotus_racing,20,Clutch,20,31,
42,2011,2,perez,sauber,21,Accident,16,23,
43,2011,2,barrichello,williams,22,Gearbox,15,22,
44,2011,2,karthikeyan,hrt,23,+42 Laps,24,14,
45,2011,2,maldonado,williams,24,Engine misfire,18,8,
46,2011,3,hamilton,mclaren,1,Finished,3,56,
47,2011,3,vettel,red_bull,2,Finished,1,56,
48,2011,3,webber,red_bull,3,Finished,18,56,
49,2011,3,button,mclaren,4,Finished,2,56,
50,2011,3,rosberg,mercedes,5,Finished,4,56,
51,2011,3,massa,ferrari,6,Finished,6,56,
52,2011,3,alonso,ferrari,7,Finished,5,56,
53,2011,3,michael_schumacher,mercedes,8,Finished,14,56,
54,2011,3,petrov,renault,9,Finished,10,56,
55,2011,3,kobayashi,sauber,10,Finished,13,56,
56,2011,3,resta,force_india,11,Finished,8,56,
57,2011,3,heidfeld,renault,12,Finished,16,56,
58,2011,3,barrichello,williams,13,Finished,15,56,
59,2011,3,buemi,toro_rosso,14,Finished,9,56,
60,2011,3,sutil,force_india,15,+1 Lap,11,55,
61,2011,3,kovalainen,lotus_racing,16,+1 Lap,19,55,
62,2011,3,perez,sauber,17,+1 Lap,12,55,
63,2011,3,maldonado,williams,18,+1 Lap,17,55,
64,2011,3,trulli,lotus_racing,19,+1 Lap,20,55,
65,2011,3,ambrosio,virgin,20,+2 Laps,21,54,
66,2011,3,glock,virgin,21,+2 Laps,22,54,
67,2011,3,liuzzi,hrt,22,+2 Laps,23,54,
68,2011,3,karthikeyan,hrt,23,+2 Laps,24,54,
69,2011,3,alguersuari,toro_rosso,24,Wheel,7,9,
70,2011,4,vettel,red_bull,1,Finished,1,58,
71,2011,4,webber,red_bull,2,Finished,2,58,
72,2011,4,alonso,ferrari,3,Finished,5,58,
73,2011,4,hamilton,mclaren,4,Finished,4,58,
74,2011,4,rosberg,mercedes,5,Finished,3,58,
75,2011,4,button,mclaren,6,Finished,6,58,
76,2011,4,heidfeld,renault,7,Finished,9,58,
77,2011,4,petrov,renault,8,Finished,7,58,
78,2011,4,buemi,toro_rosso,9,Finished,16,58,
79,2011,4,kobayashi,sauber,10,Finished,24,58,
80,2011,4,massa,ferrari,11,Finished,10,58,
81,2011,4,michael_schumacher,mercedes,12,Finished,8,58,
82,2011,4,sutil,force_india,13,+1 Lap,12,57,
83,2011,4,perez,sauber,14,+1 Lap,15,57,
84,2011,4,barrichello,williams,15,+1 Lap,11,57,
85,2011,4,alguersuari,toro_rosso,16,+1 Lap,17,57,
86,2011,4,maldonado,williams,17,+1 Lap,14,57,
87,2011,4,trulli,lotus_racing,18,+1 Lap,19,57,
88,2011,4,kovalainen,lotus_racing,19,+2 Laps,18,56,
89,2011,4,ambrosio,virgin,20,+2 Laps,23,56,
90,2011,4,karthikeyan,hrt,21,+3 Laps,22,55,
91,2011,4,liuzzi,hrt,22,+5 Laps,20,53,
92,2011,4,resta,force_india,23,Retired,13,44,
93,2011,4,glock,virgin,24,Gearbox,21,0,
94,2011,5,vettel,red_bull,1,Finished,2,66,
95,2011,5,hamilton,mclaren,2,Finished,3,66,
96,2011,5,button,mclaren,3,Finished,5,66,
97,2011,5,webber,red_bull,4,Finished,1,66,
98,2011,5,alonso,ferrari,5,+1 Lap,4,65,
99,2011,5,michael_schumacher,mercedes,6,+1 Lap,10,65,
100,2011,5,rosberg,mercedes,7,+1 Lap,7,65,
101,2011,5,heidfeld,renault,8,+1 Lap,24,65,
102,2011,5,perez,sauber,9,+1 Lap,12,65,
103,2011,5,kobayashi,sauber,10,+1 Lap,14,65,
104,2011,5,petrov,renault,11,+1 Lap,6,65,
105,2011,5,resta,force_india,12,+1 Lap,16,65,
106,2011,5,sutil,force_india,13,+1 Lap,17,65,
107,2011,5,buemi,toro_rosso,14,+1 Lap,11,65,
108,2011,5,maldonado,williams,15,+1 Lap,9,65,
109,2011,5,alguersuari,toro_rosso,16,+2 Laps,13,64,
110,2011,5,barrichello,williams,17,+2 Laps,19,64,
111,2011,5,trulli,lotus_racing,18,+2 Laps,18,64,
112,2011,5,glock,virgin,19,+3 Laps,20,63,
113,2011,5,ambrosio,virgin,20,+4 Laps,23,62,
114,2011,5,karthikeyan,hrt,21,+5 Laps,22,61,
115,2011,5,massa,ferrari,22,Gearbox,8,58,
116,2011,5,kovalainen,lotus_racing,23,Accident,15,48,
117,2011,5,liuzzi,hrt,24,Gearbox,21,28,
118,2011,6,vettel,red_bull,1,Finished,1,78,
119,2011,6,alonso,ferrari,2,Finished,4,78,
120,2011,6,button,mclaren,3,Finished,2,78,
121,2011,6,webber,red_bull,4,Finished,3,78,
122,2011,6,kobayashi,sauber,5,Finished,12,78,
123,2011,6,hamilton,mclaren,6,Finished,9,78,
124,2011,6,sutil,force_india,7,+1 Lap,14,77,
125,2011,6,heidfeld,renault,8,+1 Lap,15,77,
126,2011,6,barrichello,williams,9,+1 Lap,11,77,
127,2011,6,buemi,toro_rosso,10,+1 Lap,16,77,
128,2011,6,rosberg,mercedes,11,+2 Laps,7,76,
129,2011,6,resta,force_india,12,+2 Laps,13,76,
130,2011,6,trulli,lotus_racing,13,+2 Laps,18,76,
131,2011,6,kovalainen,lotus_racing,14,+2 Laps,17,76,
132,2011,6,ambrosio,virgin,15,+3 Laps,21,75,
133,2011,6,liuzzi,hrt,16,+3 Laps,23,75,
134,2011,6,karthikeyan,hrt,17,+4 Laps,22,74,
135,2011,6,maldonado,williams,18,Accident,8,73,
136,2011,6,petrov,renault,19,Collision,10,67,
137,2011,6,alguersuari,toro_rosso,20,Collision,19,66,
138,2011,6,massa,ferrari,21,Accident,6,32,
139,2011,6,michael_schumacher,mercedes,22,Engine,5,32,
140,2011,6,glock,virgin,23,Suspension,20,30,
141,2011,6,perez,sauber,24,Injury,0,0,
142,2011,7,button,mclaren,1,Finished,7,70,
143,2011,7,vettel,red_bull,2,Finished,1,70,
144,2011,7,webber,red_bull,3,Finished,4,70,
145,2011,7,michael_schumacher,mercedes,4,Finished,8,70,
146,2011,7,petrov,renault,5,Finished,10,70,
147,2011,7,massa,ferrari,6,Finished,3,70,
148,2011,7,kobayashi,sauber,7,Finished,13,70,
149,2011,7,alguersuari,toro_rosso,8,Finished,24,70,
150,2011,7,barrichello,williams,9,Finished,16,70,
151,2011,7,buemi,toro_rosso,10,Finished,15,70,
152,2011,7,rosberg,mercedes,11,Finished,6,70,
153,2011,7,rosa,sauber,12,Finished,17,70,
154,2011,7,liuzzi,hrt,13,+1 Lap,20,69,
155,2011,7,ambrosio,virgin,14,+1 Lap,23,69,
156,2011,7,glock,virgin,15,+1 Lap,21,69,
157,2011,7,trulli,lotus_racing,16,+1 Lap,18,69,
158,2011,7,karthikeyan,hrt,17,+1 Lap,22,69,
159,2011,7,resta,force_india,18,Accident,11,67,
160,2011,7,maldonado,williams,19,Retired,12,61,
161,2011,7,heidfeld,renault,20,Accident,9,55,
