season,raceId,raceName,date,time,circuitId
2011,1,Australian Grand Prix,27-03-2011,06:00:00,albert_park
2011,2,Malaysian Grand Prix,10-04-2011,08:00:00,sepang
2011,3,Chinese Grand Prix,17-04-2011,07:00:00,shanghai
2011,4,Turkish Grand Prix,08-05-2011,12:00:00,istanbul
2011,5,Spanish Grand Prix,22-05-2011,12:00:00,catalunya
2011,6,Monaco Grand Prix,29-05-2011,12:00:00,monaco
2011,7,Canadian Grand Prix,12-06-2011,17:00:00,villeneuve
2011,8,European Grand Prix,26-06-2011,12:00:00,valencia
2011,9,British Grand Prix,10-07-2011,12:00:00,silverstone
2011,10,German Grand Prix,24-07-2011,12:00:00,nurburgring
2011,11,Hungarian Grand Prix,31-07-2011,12:00:00,hungaroring
2011,12,Belgian Grand Prix,28-08-2011,12:00:00,spa
2011,13,Italian Grand Prix,11-09-2011,12:00:00,monza
2011,14,Singapore Grand Prix,25-09-2011,12:00:00,marina_bay
2011,15,Japanese Grand Prix,09-10-2011,06:00:00,suzuka
2011,16,Korean Grand Prix,16-10-2011,06:00:00,yeongam
2011,17,Indian Grand Prix,30-10-2011,09:30:00,buddh
2011,18,Abu Dhabi Grand Prix,13-11-2011,13:00:00,yas_marina
2011,19,Brazilian Grand Prix,27-11-2011,16:00:00,interlagos
2012,1,Australian Grand Prix,18-03-2012,06:00:00,albert_park
2012,2,Malaysian Grand Prix,25-03-2012,08:00:00,sepang
2012,3,Chinese Grand Prix,15-04-2012,07:00:00,shanghai
2012,4,Bahrain Grand Prix,22-04-2012,12:00:00,bahrain
2012,5,Spanish Grand Prix,13-05-2012,12:00:00,catalunya
2012,6,Monaco Grand Prix,27-05-2012,12:00:00,monaco
2012,7,Canadian Grand Prix,10-06-2012,18:00:00,villeneuve
2012,8,European Grand Prix,24-06-2012,12:00:00,valencia
2012,9,British Grand Prix,08-07-2012,12:00:00,silverstone
2012,10,German Grand Prix,22-07-2012,12:00:00,hockenheimring
2012,11,Hungarian Grand Prix,29-07-2012,12:00:00,hungaroring
2012,12,Belgian Grand Prix,02-09-2012,12:00:00,spa
2012,13,Italian Grand Prix,09-09-2012,12:00:00,monza
2012,14,Singapore Grand Prix,23-09-2012,12:00:00,marina_bay
2012,15,Japanese Grand Prix,07-10-2012,06:00:00,suzuka
2012,16,Korean Grand Prix,14-10-2012,06:00:00,yeongam
2012,17,Indian Grand Prix,28-10-2012,09:30:00,buddh
2012,18,Abu Dhabi Grand Prix,04-11-2012,13:00:00,yas_marina
2012,19,United States Grand Prix,18-11-2012,19:00:00,americas
2012,20,Brazilian Grand Prix,25-11-2012,16:00:00,interlagos
2013,1,Australian Grand Prix,17-03-2013,06:00:00,albert_park
2013,2,Malaysian Grand Prix,24-03-2013,08:00:00,sepang
2013,3,Chinese Grand Prix,14-04-2013,07:00:00,shanghai
2013,4,Bahrain Grand Prix,21-04-2013,12:00:00,bahrain
2013,5,Spanish Grand Prix,12-05-2013,12:00:00,catalunya
2013,6,Monaco Grand Prix,26-05-2013,12:00:00,monaco
